,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
16166,2023,Abril,2023-04-14,08:05:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,43,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4103834743323,-99.1744476601512
16167,2023,Abril,2023-04-08,12:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,43,FISICA,ROMA NORTE,CUAUHTEMOC,19.4202022577972,-99.1617554397796
16168,2023,Abril,2023-04-13,07:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,48,FISICA,OBRERA,CUAUHTEMOC,19.4097560783995,-99.1429531604528
16169,2023,Abril,2023-04-16,10:49:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,75,FISICA,ROMA NORTE,CUAUHTEMOC,19.4216152055258,-99.1583383099724
16170,2023,Abril,2023-04-17,19:40:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,33,FISICA,TABACALERA,CUAUHTEMOC,19.431685168138,-99.1581174704078
16171,2023,Abril,2023-04-17,08:05:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,48,FISICA,ROMA NORTE,CUAUHTEMOC,19.4177270237021,-99.1682378899155
16172,2023,Abril,2023-04-12,07:00:00,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,23,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4516030205889,-99.1583646799894
16173,2023,Abril,2023-04-16,06:55:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,29,FISICA,ALGARIN,CUAUHTEMOC,19.4050076799153,-99.1439883095368
16174,2023,Abril,2023-04-18,16:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,23,FISICA,ALGARIN,CUAUHTEMOC,19.4060183358323,-99.1370565595474
16175,2023,Abril,2023-04-15,06:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,32,FISICA,ROMA SUR,CUAUHTEMOC,19.4044944294483,-99.1579336304656
16176,2023,Abril,2023-04-10,04:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,44,FISICA,DOCTORES,CUAUHTEMOC,19.4254049406441,-99.1511976398524
16177,2023,Abril,2023-04-17,10:20:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,34,FISICA,ROMA NORTE,CUAUHTEMOC,19.4223870683538,-99.1583476095443
16178,2023,Abril,2023-04-17,02:35:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,59,FISICA,DOCTORES,CUAUHTEMOC,19.4179320906186,-99.1460913404741
16179,2023,Abril,2023-04-10,07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,Femenino,29,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4035312195496,-99.1706228297369
16180,2023,Abril,2023-04-19,09:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,31,FISICA,ROMA SUR,CUAUHTEMOC,19.4058829558138,-99.1566532596192
16181,2022,Octubre,2022-10-23,01:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,62,FISICA,EX-HIPÓDROMO DE PERALVILLO,CUAUHTEMOC,19.4566057703114,-99.1378702095925
