_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
15057,2023,Enero,2023-01-20,2024-11-11T00:40:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,19,FISICA,CENTRO,CUAUHTEMOC,19.4366236335775,-99.1258936401045
15058,2023,Enero,2023-01-19,2024-11-11T10:00:00.000Z,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,33,FISICA,GUERRERO,CUAUHTEMOC,19.4449767568152,-99.1451565904679
15059,2023,Enero,2023-01-20,2024-11-11T02:39:00.000Z,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Masculino,33,FISICA,CONDESA,CUAUHTEMOC,19.4117177436709,-99.1812148695634
15060,2023,Enero,2023-01-20,2024-11-11T02:39:00.000Z,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Masculino,53,FISICA,CONDESA,CUAUHTEMOC,19.4117177436709,-99.1812148695634
15061,2023,Enero,2023-01-18,2024-11-11T10:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,41,FISICA,ROMA NORTE,CUAUHTEMOC,19.4181127910976,-99.1562649598215
15062,2023,Enero,2023-01-16,2024-11-11T12:45:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,58,FISICA,VISTA ALEGRE,CUAUHTEMOC,19.409295495363,-99.1348899902547
15063,2023,Enero,2023-01-10,2024-11-11T10:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,44,FISICA,ROMA NORTE,CUAUHTEMOC,19.4147103884408,-99.1575470596937
15064,2023,Enero,2023-01-13,2024-11-11T17:00:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,34,FISICA,CENTRO,CUAUHTEMOC,19.4223968501177,-99.1401198503736
15065,2023,Enero,2023-01-06,2024-11-11T12:15:00.000Z,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Femenino,61,FISICA,TABACALERA,CUAUHTEMOC,19.4312891356001,-99.159505070049
15066,2023,Enero,2023-01-19,2024-11-11T11:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,52,FISICA,ROMA NORTE,CUAUHTEMOC,19.4184808487916,-99.1546095895723
