_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
18044,2023,Septiembre,2023-09-20,2024-11-11 14:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,23,FISICA,CENTRO,CUAUHTEMOC,19.4430191375386,-99.1286677097052
18050,2023,Septiembre,2023-09-20,2024-11-11 09:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,33,FISICA,CENTRO,CUAUHTEMOC,19.4226472738845,-99.1354483403433
18051,2023,Septiembre,2023-09-21,2024-11-11 10:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,30,FISICA,MORELOS,CUAUHTEMOC,19.4439903696567,-99.1307271995587
18052,2023,Septiembre,2023-09-21,2024-11-11 15:03:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,30,FISICA,CENTRO,CUAUHTEMOC,19.4313170913433,-99.1365710897973
18054,2023,Septiembre,2023-09-16,2024-11-11 02:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,34,FISICA,JUÁREZ,CUAUHTEMOC,19.4258831493781,-99.1619777997288
18060,2023,Septiembre,2023-09-08,2024-11-11 17:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,52,FISICA,ATLAMPA,CUAUHTEMOC,19.4584192684217,-99.1545154503704
18069,2023,Septiembre,2023-09-23,2024-11-11 03:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,26,FISICA,CENTRO,CUAUHTEMOC,19.4355151385971,-99.137377650249
18070,2023,Septiembre,2023-09-23,2024-11-11 03:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,24,FISICA,CENTRO,CUAUHTEMOC,19.4355151385971,-99.137377650249
18071,2023,Septiembre,2023-09-23,2024-11-11 10:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,27,FISICA,CENTRO,CUAUHTEMOC,19.443738962211,-99.1372509998546
18096,2023,Septiembre,2023-09-23,2024-11-11 06:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,32,FISICA,CENTRO,CUAUHTEMOC,19.4273795169495,-99.1478142999141
